config,robot_id,joints,cases,successes,success_rate,median_error,p95_error,max_error,mean_iterations,elapsed_ms
balanced,preset-02-revolute,2,50,34,0.68,3.099786109938453E-7,1.0555296875731712,1.125015543189074,62.66,61
balanced,preset-03-revolute,3,50,22,0.44,0.07061330955388528,0.5394682951255685,0.8294016769439937,108.08,43
balanced,preset-04-revolute,4,50,25,0.5,9.662838461392546E-7,1.085990826859176,1.8809787137300156,123.26,54
balanced,preset-04-prismatic,4,50,50,1.0,9.214587138872688E-7,9.851215469619534E-7,9.939086476410594E-7,110.18,59
balanced,preset-05-mixed,5,50,31,0.62,4.3946943723978177E-7,1.5765245746469119,1.7840021390744405,127.22,70
balanced,preset-06-auto,6,50,21,0.42,0.083991077543733,1.0015384740069038,1.2577674086733386,161.32,43
balanced,preset-06-revolute,6,50,22,0.44,0.0656775812805753,1.0118412452474461,1.1751184992697834,136.46,33
balanced,preset-06-mixed,6,50,36,0.72,1.868873652691707E-7,1.3266167882329232,1.7604088846326054,97.44,20
balanced,preset-08-auto,8,50,31,0.62,8.351578713352169E-7,0.9033481856154519,1.4001396956975205,146.24,44
balanced,preset-10-mixed,10,50,42,0.84,6.862239935400171E-7,0.6283848908311518,0.9754949857100772,137.14,56
precision,preset-02-revolute,2,50,38,0.76,2.0175215636840933E-7,0.8903791638123605,1.0814520910084648,54.66,3
precision,preset-03-revolute,3,50,26,0.52,8.117580873501216E-7,0.7852960191825817,0.8776081430782138,122.08,23
precision,preset-04-revolute,4,50,23,0.46,0.06533122854132366,1.171905345068538,1.5955454609206023,198.8,30
precision,preset-04-prismatic,4,50,50,1.0,5.270274130085229E-7,8.29998233108335E-7,9.884011175993752E-7,59.64,7
precision,preset-05-mixed,5,50,35,0.7,2.981579378178953E-8,0.7845996718779551,2.1051601472942667,112.12,30
precision,preset-06-auto,6,50,29,0.58,7.097976105391673E-7,1.3682047777250828,1.4823843781842039,169.54,127
precision,preset-06-revolute,6,50,38,0.76,1.9797334998491413E-7,0.4778761706285657,1.0195446184636499,119.14,39
precision,preset-06-mixed,6,50,38,0.76,1.4160117041384487E-7,1.239616954052083,2.166556591097,157.78,40
precision,preset-08-auto,8,50,30,0.6,6.479417391265216E-7,0.818795447571425,1.5919623665788625,164.52,45
precision,preset-10-mixed,10,50,38,0.76,6.140859759351998E-7,1.0970708255356103,1.611105400768356,186.7,68
deep_precision,preset-02-revolute,2,50,37,0.74,2.7617266409773024E-8,0.6069241954875965,0.8378131575305809,104.46,5
deep_precision,preset-03-revolute,3,50,21,0.42,0.07992902547548814,0.8912924324599127,1.46334279334527,241.92,28
deep_precision,preset-04-revolute,4,50,28,0.56,9.337185778291302E-7,0.8272061271307879,1.4657120732742388,291.2,35
deep_precision,preset-04-prismatic,4,50,50,1.0,3.8405686403342616E-7,8.898668968360598E-7,9.70742423445119E-7,118.04,11
deep_precision,preset-05-mixed,5,50,37,0.74,8.780375899133082E-9,0.6734190885565352,1.5543979432328259,216.14,41
deep_precision,preset-06-auto,6,50,32,0.64,7.265970893128883E-7,0.8646675181963879,1.2566697858922327,312.74,62
deep_precision,preset-06-revolute,6,50,25,0.5,8.993524878664495E-7,0.8667214002191421,1.060048321335289,340.98,60
deep_precision,preset-06-mixed,6,50,36,0.72,9.886506633010628E-8,1.6641673595630893,2.31185586150137,307.58,50
deep_precision,preset-08-auto,8,50,31,0.62,8.905470432790638E-7,0.942347621635266,1.5000140206804344,309.4,79
deep_precision,preset-10-mixed,10,50,40,0.8,2.879529611099389E-7,0.47604975192765275,1.4266956023114725,231.44,84
