trialIndex,cohort,scenario,seed,linkCount,jointMode,targetX,targetY,targetZ,branch,reportedConverged,validatedSuccess,status,detailCode,iterations,stateFinite,jointLimitsValid,independentResidualMeters,nonFiniteEncountered,unsafeSuccess,exceptionContained,contaminatingTrainingCandidate,backtrackingRetryCount,seedConditionNumber,durationNanos,jointValues
0,VALID_CAMPAIGN,UNIFORM,-8264552745066598554,3,AUTO,-0.0308128893820,0.848031640385,0.464231867154,GUARDED_PRODUCTION,true,true,SUCCESS,NONE,59,true,true,2.75458284441e-08,false,false,false,false,0,58.1726278853,113958,1.78002284762|-0.187497745186|1.70027468395
0,VALID_CAMPAIGN,UNIFORM,-8264552745066598554,3,AUTO,-0.0308128893820,0.848031640385,0.464231867154,UNGUARDED_REFERENCE,true,false,CONVERGED_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,11,true,false,4.03874245675e-08,false,true,false,true,0,NaN,7833,27.1685502310|-44.7092722733|1.44131627175
1,VALID_CAMPAIGN,NEAR_JOINT_LIMIT,1200156880245720091,3,AUTO,-0.459095473190,-0.145846704381,0.298209743404,GUARDED_PRODUCTION,false,false,NO_CONVERGENCE,STAGNATION_WINDOW_EXCEEDED,200,true,true,0.261372424269,false,false,false,false,0,115.456566741,289333,3.14159265359|-1.79872978996|2.67428074637
1,VALID_CAMPAIGN,NEAR_JOINT_LIMIT,1200156880245720091,3,AUTO,-0.459095473190,-0.145846704381,0.298209743404,UNGUARDED_REFERENCE,true,false,CONVERGED_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,14,true,false,5.53798747140e-09,false,true,false,true,0,NaN,6959,35.1727182790|-38.9540765021|-3.60890462003
2,VALID_CAMPAIGN,NEAR_SINGULARITY,-8614412132134495719,3,AUTO,1.20360000122,-0.0799999580359,0.160000016409,GUARDED_PRODUCTION,true,true,SUCCESS,NONE,126,true,true,3.09874237300e-08,false,false,false,false,0,4.41605763598,196875,6.19066557548e-07|-9.90302715070e-07|5.34857122716e-08
2,VALID_CAMPAIGN,NEAR_SINGULARITY,-8614412132134495719,3,AUTO,1.20360000122,-0.0799999580359,0.160000016409,UNGUARDED_REFERENCE,false,false,MAX_ITERATIONS_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,800,true,false,1.02178499528,false,false,false,true,0,NaN,377750,82.6389639067|88.5982310891|-3.14159270630
3,VALID_CAMPAIGN,MICRO_MOTION,1626067766134783146,3,AUTO,1.20360001345,-0.0799995383945,0.160000180503,GUARDED_PRODUCTION,true,true,SUCCESS,NONE,1,true,true,4.50782559525e-07,false,false,false,false,0,NaN,3083,6.19066557548e-07|-9.90302715070e-07|5.34857122716e-08
3,VALID_CAMPAIGN,MICRO_MOTION,1626067766134783146,3,AUTO,1.20360001345,-0.0799995383945,0.160000180503,UNGUARDED_REFERENCE,false,false,MAX_ITERATIONS_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,800,true,false,1.47707496551,false,false,false,true,0,NaN,360625,134.166047709|990.302780736|-3.14159323976
4,VALID_CAMPAIGN,UNIFORM,-2025729856402562536,3,AUTO,1.10333507439,0.438222491474,0.153941610381,GUARDED_PRODUCTION,true,true,SUCCESS,NONE,15,true,true,2.13966013854e-07,false,false,false,false,0,58.1721151439,23750,0.601703244715|-0.265993391967|-0.0197483145143
4,VALID_CAMPAIGN,UNIFORM,-2025729856402562536,3,AUTO,1.10333507439,0.438222491474,0.153941610381,UNGUARDED_REFERENCE,false,false,MAX_ITERATIONS_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,800,true,false,1.00166786148,false,false,false,true,0,NaN,371166,-42.7935503829|1743.96083951|-3.12181580642
5,VALID_CAMPAIGN,NEAR_JOINT_LIMIT,4007623856558816486,3,AUTO,-0.459095473190,-0.145846704381,0.0217902565965,GUARDED_PRODUCTION,false,false,NO_CONVERGENCE,STAGNATION_WINDOW_EXCEEDED,440,true,true,0.258172785528,false,false,false,false,0,17.1637745710,619250,3.14159265359|-1.92232528373|-2.63113217761
5,VALID_CAMPAIGN,NEAR_JOINT_LIMIT,4007623856558816486,3,AUTO,-0.459095473190,-0.145846704381,0.0217902565965,UNGUARDED_REFERENCE,true,false,CONVERGED_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,7,true,false,1.31478411002e-07,false,true,false,true,0,NaN,3792,-34.5575192466|1767.95221059|-2.67428070782
6,VALID_CAMPAIGN,NEAR_SINGULARITY,-1837382804771731674,3,AUTO,1.20360000122,-0.0799999580359,0.160000016409,GUARDED_PRODUCTION,true,true,SUCCESS,NONE,107,true,true,3.35876005987e-08,false,false,false,false,0,4.54192113424,167250,6.65729532580e-07|-1.06940939094e-06|5.34856110117e-08
6,VALID_CAMPAIGN,NEAR_SINGULARITY,-1837382804771731674,3,AUTO,1.20360000122,-0.0799999580359,0.160000016409,UNGUARDED_REFERENCE,false,false,MAX_ITERATIONS_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,800,true,false,1.53682914100,false,false,false,true,0,NaN,369208,134.493899356|2775.43777257|-3.14159270640
7,VALID_CAMPAIGN,MICRO_MOTION,685802945281688553,3,AUTO,1.20360001345,-0.0799995383945,0.160000180503,GUARDED_PRODUCTION,true,true,SUCCESS,NONE,1,true,true,4.50893967991e-07,false,false,false,false,0,NaN,3000,6.65729532580e-07|-1.06940939094e-06|5.34856110117e-08
7,VALID_CAMPAIGN,MICRO_MOTION,685802945281688553,3,AUTO,1.20360001345,-0.0799995383945,0.160000180503,UNGUARDED_REFERENCE,false,false,MAX_ITERATIONS_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,800,true,false,1.09415288324,false,false,false,true,0,NaN,358583,-287.848029035|2385.57552368|-3.14159324186
8,VALID_CAMPAIGN,UNIFORM,-6342734772139564760,3,AUTO,-0.307416176306,-0.949778189561,0.398621811309,GUARDED_PRODUCTION,true,true,SUCCESS,NONE,56,true,true,1.37727766254e-09,false,false,false,false,0,58.1720742925,85750,-1.41541741471|-0.717090500175|0.891120372569
8,VALID_CAMPAIGN,UNIFORM,-6342734772139564760,3,AUTO,-0.307416176306,-0.949778189561,0.398621811309,UNGUARDED_REFERENCE,true,false,CONVERGED_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,30,true,false,6.93990729600e-08,false,true,false,true,0,NaN,14167,-259.026014737|2336.62784330|-5.39206515987
9,VALID_CAMPAIGN,NEAR_JOINT_LIMIT,-4780303130829363336,3,AUTO,-0.459095473190,-0.145846704381,0.0217902565965,GUARDED_PRODUCTION,true,true,SUCCESS,NONE,49,true,true,1.06863881257e-07,false,false,false,false,0,12.2554618978,77375,-1.29564818671|-2.23670441949|-0.467311940104
9,VALID_CAMPAIGN,NEAR_JOINT_LIMIT,-4780303130829363336,3,AUTO,-0.459095473190,-0.145846704381,0.0217902565965,UNGUARDED_REFERENCE,true,false,CONVERGED_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,6,true,false,6.91864639387e-07,false,true,false,true,0,NaN,3083,-271.472616087|2360.24097004|-6.75049701474
10,VALID_CAMPAIGN,NEAR_SINGULARITY,4424748015382284306,3,AUTO,1.20360000122,-0.0799999580359,0.160000016409,GUARDED_PRODUCTION,true,true,SUCCESS,NONE,93,true,true,1.51649158186e-08,false,false,false,false,0,3.22653593191,141125,3.35086461820e-07|-5.08920334279e-07|5.34856127915e-08
10,VALID_CAMPAIGN,NEAR_SINGULARITY,4424748015382284306,3,AUTO,1.20360000122,-0.0799999580359,0.160000016409,UNGUARDED_REFERENCE,true,false,CONVERGED_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,16,true,false,2.41853188265e-08,false,true,false,true,0,NaN,7666,-289.159263841|2368.98589580|-6.28318525369
11,VALID_CAMPAIGN,MICRO_MOTION,8436882701399814148,3,AUTO,1.20360001345,-0.0799995383945,0.160000180503,GUARDED_PRODUCTION,true,true,SUCCESS,NONE,1,true,true,4.50456024741e-07,false,false,false,false,0,NaN,2541,3.35086461820e-07|-5.08920334279e-07|5.34856127915e-08
11,VALID_CAMPAIGN,MICRO_MOTION,8436882701399814148,3,AUTO,1.20360001345,-0.0799995383945,0.160000180503,UNGUARDED_REFERENCE,true,false,CONVERGED_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,1,true,false,4.50731158594e-07,false,true,false,true,0,NaN,459,-289.159263841|2368.98589580|-6.28318525369
12,VALID_CAMPAIGN,UNIFORM,2756827125054247311,3,AUTO,0.296711370198,-0.640244301742,-0.0694512601812,GUARDED_PRODUCTION,true,true,SUCCESS,NONE,44,true,true,2.23725341527e-07,false,false,false,false,0,58.1723644370,65083,-0.125650661939|-1.63892734913|-0.844870894588
12,VALID_CAMPAIGN,UNIFORM,2756827125054247311,3,AUTO,0.296711370198,-0.640244301742,-0.0694512601812,UNGUARDED_REFERENCE,true,false,CONVERGED_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,11,true,false,5.40229270456e-08,false,true,false,true,0,NaN,5500,-301.718545381|2392.25467495|-7.12805616547
