config,robot_id,joints,cases,successes,success_rate,median_error,p95_error,max_error,mean_iterations,elapsed_ms
balanced,preset-02-revolute,2,200,143,0.715,2.992934167968203E-7,0.9278063283346073,1.1353374075983111,56.255,12
balanced,preset-03-revolute,3,200,92,0.46,0.05563204938619621,0.9175426416868965,1.379695155704452,113.555,36
balanced,preset-04-revolute,4,200,91,0.455,0.06637685046435293,1.0310919440739488,1.8809787137300156,127.44,53
balanced,preset-04-prismatic,4,200,200,1.0,9.222157521526775E-7,9.900756208630623E-7,9.993019406239143E-7,108.07,34
balanced,preset-05-mixed,5,200,129,0.645,5.550825953109569E-7,1.6379003076847785,2.0650152576157104,112.495,59
balanced,preset-06-auto,6,200,105,0.525,9.75394589692727E-7,1.1578107138690503,2.304212546304965,139.9,99
balanced,preset-06-revolute,6,200,106,0.53,9.579273270954251E-7,0.8674779814165855,1.5141765737456487,136.745,94
balanced,preset-06-mixed,6,200,121,0.605,6.166953490012956E-7,1.6324607050586688,2.303530621803079,113.07,78
balanced,preset-08-auto,8,200,126,0.63,7.890170472652117E-7,0.9033481856154519,2.2502974441478925,127.155,133
balanced,preset-10-mixed,10,200,152,0.76,7.624937661276019E-7,0.6768834291774531,2.1009518160521545,144.495,218
precision,preset-02-revolute,2,200,145,0.725,1.7120002841013115E-7,0.9384820802741979,1.152580818857152,56.095,11
precision,preset-03-revolute,3,200,107,0.535,6.638717505240929E-7,0.7852960191825817,1.324596759492962,125.0,40
precision,preset-04-revolute,4,200,101,0.505,9.923595360594871E-7,1.0926095650638976,1.6944388754404989,161.63,69
precision,preset-04-prismatic,4,200,200,1.0,5.29425603850015E-7,9.436778037647509E-7,9.884011175993752E-7,65.265,22
precision,preset-05-mixed,5,200,135,0.675,6.008367006592377E-8,1.2532065568735682,2.1051601472942667,122.235,64
precision,preset-06-auto,6,200,110,0.55,9.118169618304922E-7,1.3645494472147788,1.9341304931633603,187.245,134
precision,preset-06-revolute,6,200,113,0.565,8.697595558527261E-7,0.8478134412906353,1.468001334667959,151.105,103
precision,preset-06-mixed,6,200,141,0.705,5.928232674376401E-7,1.4569476679743996,2.1948815124819707,160.38,105
precision,preset-08-auto,8,200,120,0.6,8.47621875317189E-7,1.0008224570002262,1.5919623665788625,183.535,187
precision,preset-10-mixed,10,200,145,0.725,5.96015418419622E-7,1.1165174416872288,2.485325698860674,163.84,239
deep_precision,preset-02-revolute,2,200,145,0.725,2.2277748783623808E-8,1.0150748289149933,1.146533086623947,102.32,16
deep_precision,preset-03-revolute,3,200,102,0.51,6.601163200119768E-7,0.8883973118485154,1.46334279334527,218.98,67
deep_precision,preset-04-revolute,4,200,104,0.52,9.436685098689416E-7,1.1208621654658593,1.6631828809141949,359.885,145
deep_precision,preset-04-prismatic,4,200,200,1.0,2.736682140932615E-7,8.914197910936394E-7,9.81447667552926E-7,112.515,35
deep_precision,preset-05-mixed,5,200,139,0.695,5.0422608627757275E-8,1.4939643941184322,1.8738127423954305,218.98,115
deep_precision,preset-06-auto,6,200,107,0.535,9.859124388704288E-7,1.2228378785858809,1.9963456495016674,353.8,234
deep_precision,preset-06-revolute,6,200,109,0.545,9.123470154349396E-7,0.8255962240537785,1.4640626177228862,284.895,196
deep_precision,preset-06-mixed,6,200,146,0.73,2.1811303901165935E-7,1.5391897269880692,2.604166639452666,284.91,190
deep_precision,preset-08-auto,8,200,129,0.645,8.383215137713736E-7,0.9396155363836592,1.8334120205929196,323.01,330
deep_precision,preset-10-mixed,10,200,153,0.765,5.20455112542329E-7,0.8295254983949226,1.6278841153969144,268.445,407
