split_mode,split_label,dataset_rows,model,stage,stage_label,feature_count,macro_f1_mean,macro_f1_ci95_half_width,balanced_accuracy_mean,reachable_macro_f1_mean,reachable_macro_f1_ci95_half_width,reachable_test_rows_mean,log_loss_mean,fit_seconds_mean,inference_seconds_mean
grouped,"Known robots, new cases",1000,Logistic regression,baseline,Baseline,108,0.6216673852953617,0.02106867908217537,0.6778412563996007,0.7101424277653926,0.020963973995477215,96.91666666666667,0.7628479712269445,0.010176701330541013,0.00022747233257784197
grouped,"Known robots, new cases",1000,Logistic regression,context_10,+10 difficulty/reach,118,0.7727267816824573,0.02036999237880206,0.7869100361745675,0.6884833698659906,0.023294812060257606,96.91666666666667,0.49715975026769793,0.012133184160726765,0.00017145849900164953
grouped,"Known robots, new cases",1000,Logistic regression,context_20,+20 geometry/state,128,0.7783544429242865,0.023216250019271138,0.7899008391799462,0.6977662648799701,0.028018356297251367,96.91666666666667,0.48579883182430533,0.012354354262546016,0.0001808230833072836
grouped,"Known robots, new cases",1000,Logistic regression,context_22,+22 full context,130,0.8126054367860318,0.017425448233206946,0.831960648208618,0.7401513734390869,0.024692809678692477,96.91666666666667,0.4171869193401556,0.013903840260657793,0.00017320159531664103
grouped,"Known robots, new cases",1000,MLP-24,baseline,Baseline,108,0.7852263639669107,0.020493741041412973,0.8048631450517415,0.7597023930881203,0.024055282787865263,96.91666666666667,0.4849389246809504,0.13809451757697389,0.00018185424657228091
grouped,"Known robots, new cases",1000,MLP-24,context_10,+10 difficulty/reach,118,0.7965796703306637,0.023800728717443223,0.805642712749015,0.7193697186406562,0.0302872085773715,96.91666666666667,0.4396301315391414,0.11013940274521399,0.00019486459981029233
grouped,"Known robots, new cases",1000,MLP-24,context_20,+20 geometry/state,128,0.7862012632299878,0.027668135992709657,0.7946207984444116,0.7146695261255038,0.031613859692005745,96.91666666666667,0.45692704306341536,0.08090241325165455,0.0002029096552481254
grouped,"Known robots, new cases",1000,MLP-24,context_22,+22 full context,130,0.8220065431611306,0.014098561634692223,0.8318415401217236,0.7695243741494916,0.02350061543732734,96.91666666666667,0.4228280519793907,0.08605192732647993,0.00019424299049812058
grouped,"Known robots, new cases",2000,Logistic regression,baseline,Baseline,108,0.6179926670283348,0.01614168929512019,0.6757013506324602,0.7116533783936685,0.019955172489826558,192.91666666666666,0.7614190506494523,0.011882944658282213,0.00027196867449674755
grouped,"Known robots, new cases",2000,Logistic regression,context_10,+10 difficulty/reach,118,0.7833069983843511,0.010858112693706155,0.7959503134263507,0.6829638639569232,0.015257871010587813,192.91666666666666,0.4805435392515733,0.02129720483693139,0.0002216459106421098
