seed,model,stage,stage_label,feature_count,train_rows,validation_rows,test_rows,held_out_robot,accuracy,balanced_accuracy,macro_f1,reachable_macro_f1,reachable_test_rows,log_loss,fit_seconds,inference_seconds
101,Logistic regression,baseline,Baseline,108,2782,609,609,,0.5714285714285714,0.6544008340900682,0.6009198575632423,0.6682533856802316,397,0.794921205634102,0.021059749997220933,0.0002749999985098839
101,MLP-24,baseline,Baseline,108,2782,609,609,,0.8472906403940886,0.8565056783147793,0.8439085702081042,0.8062406054009226,397,0.3819545666669825,0.7148986249812879,0.00034845800837501884
101,Logistic regression,context_10,+10 difficulty/reach,118,2782,609,609,,0.7816091954022989,0.8066760838125987,0.799321919365267,0.7021098170469342,397,0.45518423921962237,0.04716291604563594,0.00026950001483783126
101,MLP-24,context_10,+10 difficulty/reach,118,2782,609,609,,0.8489326765188834,0.8624967768696958,0.8497088125542028,0.7730413826840373,397,0.3204001872492018,0.33163112500915304,0.00031104200752452016
101,Logistic regression,context_20,+20 geometry/state,128,2782,609,609,,0.7848932676518884,0.8064047803226494,0.8003882788291358,0.7032520028379148,397,0.4357065629383939,0.04746287502348423,0.00027308298740535975
101,MLP-24,context_20,+20 geometry/state,128,2782,609,609,,0.8078817733990148,0.8357548851444522,0.8229053838228696,0.7339416121296282,397,0.357839323989344,0.1640044170198962,0.00043870898662135005
101,Logistic regression,context_22,+22 full context,130,2782,609,609,,0.8177339901477833,0.843687148959069,0.8288885242951727,0.7310857376180019,397,0.3549665254837106,0.05229758401401341,0.00041029200656339526
101,MLP-24,context_22,+22 full context,130,2782,609,609,,0.8686371100164204,0.8818916131346765,0.8686831511181098,0.8142000601893651,397,0.31875959499241535,0.24566608300665393,0.00033062504371628165
102,Logistic regression,baseline,Baseline,108,2815,567,618,,0.5841423948220065,0.6698507422292588,0.6118628058133756,0.7134353499167956,403,0.7540950594228781,0.016564249992370605,0.00023045798297971487
102,MLP-24,baseline,Baseline,108,2815,567,618,,0.8284789644012945,0.8540478220273617,0.8286172681075857,0.7829741057792886,403,0.40298952839496843,0.6162653749925084,0.00032299995655193925
102,Logistic regression,context_10,+10 difficulty/reach,118,2815,567,618,,0.7588996763754046,0.804084493700862,0.7822347765162214,0.6770115910302826,403,0.504068731455474,0.05221945804078132,0.00029458396602422
102,MLP-24,context_10,+10 difficulty/reach,118,2815,567,618,,0.8543689320388349,0.8653935777209435,0.8581455195707454,0.7948529710855881,403,0.27302918551936806,0.40287783299572766,0.0003343750140629709
102,Logistic regression,context_20,+20 geometry/state,128,2815,567,618,,0.7621359223300971,0.8047629873205322,0.7853244565844878,0.6911226028873086,403,0.4997764522629459,0.05160858400631696,0.00023712503025308251
102,MLP-24,context_20,+20 geometry/state,128,2815,567,618,,0.8673139158576052,0.8857023775693852,0.868550157616727,0.8209175981564041,403,0.2995329057676375,0.37696987501112744,0.00031766598112881184
102,Logistic regression,context_22,+22 full context,130,2815,567,618,,0.8220064724919094,0.8571688385499128,0.8355930957702951,0.7436412098653221,403,0.37650626513397695,0.04997754195937887,0.00024795904755592346
102,MLP-24,context_22,+22 full context,130,2815,567,618,,0.8689320388349514,0.8791629115414281,0.8711543541618424,0.8187793893364956,403,0.27601430010910716,0.2669254160136916,0.0003209999995306134
103,Logistic regression,baseline,Baseline,108,2792,602,606,,0.6089108910891089,0.6895057766367136,0.6463989471130828,0.7426554148657827,407,0.7415738237146237,0.017293250013608485,0.00025874999118968844
