profile,feature_count,parameter_count,runs,runs_with_complete_class_coverage,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,log_loss_mean,accepted_recall_mean,uncertain_recall_mean,rejected_recall_mean,inference_ns_mean,fit_ms_mean
baseline_108,108,3587,5,5,0.863688354100,0.015321712897,0.872152044708,0.309653398738,0.854127368592,0.936636740941,0.825692024592,1745.492743452381,4859.000000000000
context_full_130,130,4291,5,5,0.906801161112,0.011431856261,0.917494462015,0.212754149674,0.912323313028,0.980132960593,0.860027112423,2394.905817857143,7402.800000000000
without_initial_error,128,4227,5,5,0.898289805897,0.018971344818,0.906512080933,0.228540972112,0.898549130219,0.960063556534,0.860923556046,2347.188453571429,6996.800000000000
without_seed_margin,128,4227,5,5,0.908415033621,0.013995194130,0.919033122524,0.211292693322,0.921517497551,0.974496743006,0.861085127014,2520.080719642857,7703.600000000000
without_seed_condition,128,4227,5,5,0.891987672628,0.030448080898,0.898218794112,0.244701655530,0.880573998726,0.946239465212,0.867842918398,2452.123214880953,7075.400000000000
without_reach,126,4163,5,5,0.891290128780,0.013605164106,0.904372338674,0.258801328791,0.912580196247,0.970763935537,0.829772884239,2348.932658928571,7013.200000000000
without_joint_mix,128,4227,5,5,0.906781451772,0.012167380334,0.919789465836,0.213783125203,0.922105423405,0.983134781801,0.854128192301,2376.784225000000,7065.000000000000
without_link_geometry,128,4227,5,5,0.906651869935,0.012448678073,0.916913972035,0.210189258135,0.907872931267,0.979612534705,0.863256450133,2291.422030952381,7718.200000000000
without_joint_span,128,4227,5,5,0.906228863203,0.016404479170,0.915771009960,0.213600430843,0.900483529026,0.981541286818,0.865288214036,2367.679504761904,7886.800000000000
without_normalized_target,127,4195,5,5,0.903694650270,0.012135480525,0.914117423189,0.216741949786,0.893702806827,0.987535865455,0.861113597287,2338.935450595238,7584.600000000000
without_seed_home_offset,127,4195,5,5,0.906989245073,0.011496247051,0.916060536681,0.209121401519,0.899446206486,0.980529274817,0.868206128740,2294.799038095238,7660.600000000000
without_revolute_fraction,129,4259,5,5,0.908460273521,0.011035154903,0.919727292465,0.210432670025,0.915448202412,0.984153695045,0.859579979939,2389.544664285715,6249.400000000000
without_prismatic_fraction,129,4259,5,5,0.908173383172,0.011803141756,0.919898498693,0.214338979874,0.917687126136,0.985859642427,0.856148727517,2421.208950595238,8012.200000000000
without_availability_flags,127,4195,5,5,0.906614505968,0.013063089987,0.918532509345,0.212530639108,0.920409823986,0.980897347770,0.854290356278,2325.447935714285,7027.000000000000
frozen_redundancy_pruned,126,4163,5,5,0.906505843810,0.011036797578,0.916335085781,0.215493534223,0.899705937685,0.986873284473,0.862426035185,2413.481586309524,7554.600000000000
corpus_nonconstant,106,3523,5,5,0.905891589721,0.012511874860,0.914778755875,0.215281901399,0.906178037788,0.971003202405,0.867155027433,1955.738669047619,6503.400000000000
