seed,profile,feature_count,candidate,model_kind,hidden_units,parameter_count,train_rows,validation_rows,test_rows,skipped_rows,duplicate_fingerprints,duplicates_kept_together,best_epoch,accuracy,balanced_accuracy,macro_f1,log_loss,accepted_recall,uncertain_recall,rejected_recall,accepted_support,uncertain_support,rejected_support,complete_class_coverage,inference_ns_per_sample,selected_candidate_training_ms,whole_comparison_wall_ms,peak_jvm_heap_bytes,workers
2604,BASELINE_KINEMATICS,108,compact-mlp-24,COMPACT_MLP,24,2691,75000,8000,16000,0,0,true,6,0.871875,0.8770254318852455,0.8607423192268482,0.29764414267182354,0.8430478671442527,0.9606504717928127,0.8273779567186713,3071,4981,7948,true,1315.528625,2175,65593,934701424,2
2604,CONTEXT_ENHANCED,130,compact-mlp-24,COMPACT_MLP,24,3219,75000,8000,16000,0,0,true,13,0.8958125,0.9049013967322411,0.8879910830211051,0.22232332767560556,0.9114295017909476,0.9431840995783979,0.860090588827378,3071,4981,7948,true,1932.3958125,3614,65593,934701424,2
2604,CONTEXT_EXPANDED,383,compact-mlp-24,COMPACT_MLP,24,9291,75000,8000,16000,0,0,true,39,0.9158125,0.9244837438760788,0.9076081573590375,0.19429008269876433,0.9195701725822207,0.979321421401325,0.8745596376446905,3071,4981,7948,true,6582.7291875,19907,65593,934701424,2
2605,BASELINE_KINEMATICS,108,compact-mlp-24,COMPACT_MLP,24,2691,72000,15000,12000,0,0,true,21,0.82925,0.8364737012755885,0.8307366379852383,0.46017096423541703,0.8339373970345964,0.8681135225375626,0.8073701842546064,3035,2995,5970,true,1438.059,7250,65210,948192280,2
2605,CONTEXT_ENHANCED,130,compact-mlp-24,COMPACT_MLP,24,3219,72000,15000,12000,0,0,true,36,0.8905833333333333,0.8885319113667789,0.8918517455067064,0.224856213373455,0.8378912685337726,0.9302170283806344,0.8974874371859296,3035,2995,5970,true,1916.0799166666666,7321,65210,948192280,2
2605,CONTEXT_EXPANDED,383,compact-mlp-24,COMPACT_MLP,24,9291,72000,15000,12000,0,0,true,16,0.9105833333333333,0.9192789664930245,0.9125472951909885,0.19790705857931823,0.8906095551894564,0.9826377295492488,0.8845896147403685,3035,2995,5970,true,6506.194416666666,12634,65210,948192280,2
2606,BASELINE_KINEMATICS,108,compact-mlp-24,COMPACT_MLP,24,2691,78000,13000,8000,0,0,true,19,0.853375,0.8908498126371668,0.878964411538889,0.32820178660440447,0.8926553672316384,0.9992313604919293,0.7806627101879328,2655,1301,4044,true,1317.61975,4082,69216,953781336,2
2606,CONTEXT_ENHANCED,130,compact-mlp-24,COMPACT_MLP,24,3219,78000,13000,8000,0,0,true,33,0.904,0.9297522995932673,0.9218941803318086,0.2105490567208412,0.9408662900188324,0.9992313604919293,0.8491592482690405,2655,1301,4044,true,1788.7605,7470,69216,953781336,2
2606,CONTEXT_EXPANDED,383,compact-mlp-24,COMPACT_MLP,24,9291,78000,13000,8000,0,0,true,24,0.909625,0.9349707907293766,0.9260749223996191,0.19290775829483336,0.9540489642184558,0.9992313604919293,0.8516320474777448,2655,1301,4044,true,6530.421875,17659,69216,953781336,2
2607,BASELINE_KINEMATICS,108,compact-mlp-24,COMPACT_MLP,24,2691,65000,20000,14000,0,0,true,16,0.8518571428571429,0.8642276063294129,0.859209626502102,0.3659990075301253,0.9090191953720747,0.8723536737235368,0.8113099498926271,3803,3212,6985,true,1325.1934285714285,3328,70443,950735040,2
2607,CONTEXT_ENHANCED,130,compact-mlp-24,COMPACT_MLP,24,3219,65000,20000,14000,0,0,true,31,0.9015714285714286,0.9176939294835932,0.9077100428393422,0.22506187583959825,0.9279516171443597,0.9688667496886675,0.8562634216177524,3803,3212,6985,true,1871.2619285714286,6723,70443,950735040,2
2607,CONTEXT_EXPANDED,383,compact-mlp-24,COMPACT_MLP,24,9291,65000,20000,14000,0,0,true,22,0.9096428571428572,0.9252657342057694,0.9145672015778298,0.21544422613766687,0.9253221141204312,0.9831880448318805,0.8672870436649964,3803,3212,6985,true,6548.681571428571,15506,70443,950735040,2
2608,BASELINE_KINEMATICS,108,compact-mlp-24,COMPACT_MLP,24,2691,74000,13000,12000,0,0,true,31,0.8951666666666667,0.9150081284446157,0.8926160210233759,0.2539157120565394,0.9389140271493213,0.9958926615553122,0.8102176966292135,2652,3652,5696,true,1323.6700833333334,5580,74775,957430992,2
2608,CONTEXT_ENHANCED,130,compact-mlp-24,COMPACT_MLP,24,3219,74000,13000,12000,0,0,true,35,0.9191666666666667,0.9303565425547157,0.9157306030429585,0.19324277619008368,0.9317496229260935,0.9939759036144579,0.8653441011235955,2652,3652,5696,true,1958.9514166666668,7085,74775,957430992,2
2608,CONTEXT_EXPANDED,383,compact-mlp-24,COMPACT_MLP,24,9291,74000,13000,12000,0,0,true,25,0.9341666666666667,0.9428104377941731,0.9309165799265101,0.15104282548598502,0.943815987933635,0.9920591456736035,0.8925561797752809,2652,3652,5696,true,6389.0,17245,74775,957430992,2
