tolerance_m,training_seed,selection_id,feature_count,test_rows,accuracy,balanced_accuracy,macro_f1,log_loss,ece,inference_ns_per_sample,training_ms,dataset_generation_ms
0.001,2604,baseline_kinematics,108,1000,0.583,0.4957482993197279,0.3682880606443462,0.8165280606123403,0.15543708050250998,1692.792,174,7490
0.001,2604,context_expanded,383,1000,0.786,0.7733472029588535,0.7763228309585926,0.4169202207308971,0.0622031048536301,8251.542,1643,7490
0.001,2605,baseline_kinematics,108,1000,0.621,0.5444075688527839,0.4721735170373754,0.7039926659663651,0.21366303607821463,1747.791,474,7490
0.001,2605,context_expanded,383,1000,0.782,0.753962750148603,0.7616798726627136,0.5153802373640529,0.10605162805318832,8202.709,2165,7490
0.001,2606,baseline_kinematics,108,1000,0.714,0.7590766907561213,0.7135864187887309,0.6065208147954049,0.10636288142204287,1679.167,554,7490
0.001,2606,context_expanded,383,1000,0.79,0.8125121346133103,0.7860426447574335,0.4685063432635884,0.07265947562456128,8151.833,1474,7490
1.0E-4,2604,baseline_kinematics,108,1000,0.56,0.49465524275805794,0.38263290229885055,0.7383985049027604,0.09128850203752525,1677.417,171,7446
1.0E-4,2604,context_expanded,383,1000,0.784,0.7691146470828233,0.7761367950394398,0.5461068932698991,0.11302071943879133,8375.875,2163,7446
1.0E-4,2605,baseline_kinematics,108,1000,0.571,0.5011627906976744,0.3656089045441035,1.7163726831570387,0.395727334856987,1623.125,586,7446
1.0E-4,2605,context_expanded,383,1000,0.758,0.739453284373725,0.7437265965197648,0.5672903103747363,0.13584445357322694,8320.334,2146,7446
1.0E-4,2606,baseline_kinematics,108,1000,0.77,0.7674173990971016,0.7621204787377078,0.4669931694392766,0.030679490387439754,1724.25,587,7446
1.0E-4,2606,context_expanded,383,1000,0.779,0.8000012622065895,0.777466969956027,0.4510819926859975,0.05847803217172622,8356.875,1126,7446
1.0E-6,2604,baseline_kinematics,108,1000,0.544,0.4922573768697999,0.3837005000675767,0.7604990171845766,0.09631790539622309,1672.292,184,7726
1.0E-6,2604,context_expanded,383,1000,0.808,0.7936908057110205,0.7989501973628959,0.40475414466042214,0.06217684105038642,9176.041,1924,7726
1.0E-6,2605,baseline_kinematics,108,1000,0.567,0.5115176838189106,0.3840463743376365,1.0375138991875799,0.33743391904234893,1673.959,574,7726
1.0E-6,2605,context_expanded,383,1000,0.827,0.8326916608240695,0.8266489641524086,0.4121940110101864,0.07565776675939559,8219.375,2106,7726
1.0E-6,2606,baseline_kinematics,108,1000,0.723,0.7405434726896858,0.7191555199120765,0.5418698785368645,0.07378072035312654,1643.416,554,7726
1.0E-6,2606,context_expanded,383,1000,0.776,0.7952537971331431,0.7725019906075821,0.4568437722511845,0.06399060338735578,8973.416,1265,7726
